City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
8,Sur,OM,89.98,few clouds,22.5667,59.5289,Sur Plaza Hotel
10,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
11,Georgetown,MY,89.89,few clouds,5.4112,100.3354,Cititel Penang
12,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Butaritari,KI,81.91,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
14,Champerico,GT,81.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
16,Nabire,ID,86.88,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
21,Koungou,YT,76.71,few clouds,-12.7336,45.2042,Villa Netibor
23,Hasaki,JP,81.28,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
28,Dingle,PH,79.93,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
32,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
33,Lakatoro,VU,79.86,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
34,Atuona,PF,78.12,few clouds,-9.8,-139.0333,Villa Enata
37,Kavaratti,IN,82.45,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
38,Nagato,JP,86.45,clear sky,34.3833,131.2,いそう庵
42,Bac Lieu,VN,87.15,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
45,Oussouye,SN,78.08,few clouds,12.485,-16.5469,Auberge du Routard
48,Puri,IN,88.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
52,Pennagaram,IN,79.99,overcast clouds,12.1333,77.9,Ranga Lodge
60,Mount Isa,AU,83.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
62,Andros Town,BS,81.77,scattered clouds,24.7,-77.7667,Hanks place
64,Bonthe,SL,75.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
69,Balabac,PH,83.86,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
71,Acapulco,MX,77.5,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
74,Sambava,MG,75.04,scattered clouds,-14.2667,50.1667,Melrose
83,Puerto Carreno,CO,75.47,broken clouds,6.189,-67.4859,Casa Hotel Victoria
84,Vaini,TO,75.36,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
85,Ardmore,US,77.32,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
88,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Lorengau,PG,82.11,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Cabo San Lucas,MX,86.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
97,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
98,Saint-Pierre,RE,76.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
108,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
109,Sao Filipe,CV,78.76,clear sky,14.8961,-24.4956,Hotel Xaguate
117,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
120,Hobyo,SO,81.93,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Manga,BF,78.58,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
122,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
123,Tura,IN,86.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
125,Upata,VE,75.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
127,Vanimo,PG,86.0,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
132,Shingu,JP,83.39,broken clouds,33.7333,135.9833,Shingu UI Hotel
135,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
136,Sinacaban,PH,80.8,overcast clouds,8.2864,123.8399,MERLYN MANSION
139,Alta Floresta,BR,75.47,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
141,Meulaboh,ID,86.56,scattered clouds,4.1363,96.1285,Kost Pria
145,La Orilla,MX,78.01,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
148,Celestun,MX,80.17,clear sky,20.8667,-90.4,Posada Lilia
149,Namatanai,PG,84.36,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
158,Geraldton,AU,75.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
162,Sao Felix Do Xingu,BR,75.07,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
163,Teknaf,BD,87.76,few clouds,20.8624,92.3058,Forestry Guesthouse
165,Faanui,PF,79.29,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
167,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
169,Lae,PG,80.24,overcast clouds,-6.7221,146.9847,Phils Hotel
170,Kavieng,PG,83.91,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
172,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
175,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
176,Muroto,JP,82.44,few clouds,33.2833,134.15,Oota Ryokan
180,Victoria,HK,82.36,light rain,22.2855,114.1577,Mini Hotel Central
181,Mathbaria,BD,89.2,few clouds,22.2876,89.9593,Shikdar Hotel
182,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Buala,SB,82.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
187,Ambilobe,MG,80.92,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
190,Pemangkat,ID,87.66,broken clouds,1.1667,108.9667,Ramah Kost KITA
197,Kilindoni,TZ,78.39,broken clouds,-7.9139,39.6668,Bustani B&B
199,Bathsheba,BB,77.61,shower rain,13.2167,-59.5167,Atlantis Hotel
200,Francistown,BW,77.95,clear sky,-21.17,27.5079,Budget House
201,Cocobeach,GA,76.93,moderate rain,1.0002,9.5823,Hotel Esperance
202,Dalby,AU,89.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
203,Kahului,US,76.26,light rain,20.8947,-156.47,Maui Seaside Hotel
214,Hervey Bay,AU,81.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
222,Nargana,PA,79.84,broken clouds,9.4428,-78.5906,Dubbir
