City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Quatre Cocos,MU,-20.2078,57.7625,76.08,76,37,15.66,light rain
Jamestown,US,42.097,-79.2353,63.99,92,90,1.99,overcast clouds
Busselton,AU,-33.65,115.3333,68.04,59,76,10.31,broken clouds
Shache,CN,38.4167,77.2406,53.62,15,17,3.24,few clouds
Santa Rosa,PH,14.3122,121.1114,90.09,63,50,11.12,scattered clouds
Bluff,NZ,-46.6,168.3333,55.53,69,92,6.44,overcast clouds
Bay Roberts,CA,47.5999,-53.2648,45.34,84,100,10.0,overcast clouds
New Norfolk,AU,-42.7826,147.0587,57.92,41,90,4.0,overcast clouds
Sur,OM,22.5667,59.5289,89.98,37,11,2.73,few clouds
Cape Town,ZA,-33.9258,18.4232,56.1,67,0,4.61,clear sky
Tiarei,PF,-17.5333,-149.3333,80.62,67,28,3.42,scattered clouds
Georgetown,MY,5.4112,100.3354,89.89,70,20,1.01,few clouds
Mahebourg,MU,-20.4081,57.7,76.24,83,75,11.5,light rain
Butaritari,KI,3.0707,172.7902,81.91,74,39,10.2,scattered clouds
Champerico,GT,14.3,-91.9167,81.36,84,100,8.16,overcast clouds
Homer,US,59.6425,-151.5483,46.8,78,90,14.97,overcast clouds
Nabire,ID,-3.3667,135.4833,86.88,66,38,5.68,light rain
Huntington,US,38.4193,-82.4452,63.77,97,1,3.44,mist
Kasama,ZM,-10.2129,31.1808,71.8,33,68,6.78,broken clouds
Balkhash,KZ,46.844,74.9804,48.81,49,40,6.71,scattered clouds
Saldanha,ZA,-33.0117,17.9442,51.85,69,30,6.73,scattered clouds
Koungou,YT,-12.7336,45.2042,76.71,83,20,3.44,few clouds
Necochea,AR,-38.5473,-58.7368,41.04,79,0,9.28,clear sky
Hasaki,JP,35.7333,140.8333,81.28,74,16,11.92,few clouds
Leningradskiy,RU,69.3833,178.4167,17.2,93,100,5.23,overcast clouds
Hilo,US,19.7297,-155.09,74.28,90,90,5.75,moderate rain
Viedma,AR,-40.8135,-62.9967,54.5,67,0,11.1,clear sky
Kaitangata,NZ,-46.2817,169.8464,58.93,74,38,8.81,scattered clouds
Dingle,PH,10.9995,122.6711,79.93,85,100,13.85,moderate rain
Tiksi,RU,71.6872,128.8694,24.6,86,74,1.34,broken clouds
East London,ZA,-33.0153,27.9116,58.14,82,20,12.66,light rain
Dikson,RU,73.5069,80.5464,29.59,69,100,25.77,light snow
Avarua,CK,-21.2078,-159.775,77.05,65,91,3.44,overcast clouds
Lakatoro,VU,-16.0999,167.4164,79.86,76,65,17.76,broken clouds
Atuona,PF,-9.8,-139.0333,78.12,70,14,18.05,few clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,86,99,10.02,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,53.28,93,1,3.44,clear sky
Kavaratti,IN,10.5669,72.642,82.45,79,80,12.01,broken clouds
Nagato,JP,34.3833,131.2,86.45,61,0,16.17,clear sky
Upernavik,GL,72.7868,-56.1549,32.67,75,100,15.28,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,67.19,85,100,17.67,overcast clouds
Tucuma,BR,-0.1833,-50.05,76.1,92,85,5.66,overcast clouds
Bac Lieu,VN,9.285,105.7244,87.15,67,88,16.49,overcast clouds
Rikitea,PF,-23.1203,-134.9692,74.84,82,100,18.77,overcast clouds
Mataura,NZ,-46.1927,168.8643,64.06,51,84,4.07,broken clouds
Oussouye,SN,12.485,-16.5469,78.08,86,20,5.1,few clouds
Olafsvik,IS,64.8945,-23.7142,41.27,80,98,4.76,overcast clouds
Hobart,AU,-42.8794,147.3294,58.26,44,40,1.01,scattered clouds
Puri,IN,19.8,85.85,88.32,62,21,5.08,few clouds
Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,19.57,scattered clouds
Jalu,LY,29.0331,21.5482,72.21,36,0,8.84,clear sky
Tasiilaq,GL,65.6145,-37.6368,28.56,60,29,4.56,scattered clouds
Pennagaram,IN,12.1333,77.9,79.99,65,98,5.46,overcast clouds
Ozernovskiy,RU,51.5,156.5167,45.59,74,67,8.81,broken clouds
